TransactionID,Date,Time,DayOfWeek,MonthName,ItemSold,QuantitySold,MetalType,Weight,Cost,Profit,DiscountApplied,SalePrice,ProfitMarginPercentage,PaymentMethod,CustomerID,Age,Gender,SalesAssociate
TRX000001,2024-01-02,11:53:27,Tuesday,January,Necklace,2,Silver,5.56,4.73,14.19,0.56,27.25,476.109937,Card,CUST00083,39,Female,Chilli
TRX000002,2024-01-02,18:55:56,Tuesday,January,Ring,1,Silver,4.06,3.45,10.34,0.44,9.90,186.956522,Card,CUST00326,41,Non-binary,Olivia
TRX000003,2024-01-02,17:41:29,Tuesday,January,Necklace,1,Silver,12.53,10.65,31.96,1.99,29.97,181.408451,Card,CUST00296,35,Non-binary,Habib
TRX000004,2024-01-02,13:01:56,Tuesday,January,Chain,1,Silver,25.71,21.85,65.56,1.49,64.07,193.226545,Cash,CUST00363,60,Non-binary,Chilli
TRX000005,2024-01-02,09:32:39,Tuesday,January,Earrings,1,Silver,2.88,2.45,7.35,0.21,7.13,191.020408,Cash,CUST00262,42,Female,Olivia
TRX000006,2024-01-02,18:05:18,Tuesday,January,Bracelet,1,Silver,27.66,23.51,70.54,3.48,67.06,185.240323,Cash,CUST00226,53,Female,Chilli
TRX000007,2024-01-02,09:31:39,Tuesday,January,Bracelet,1,Silver,8.06,6.85,20.56,1.07,19.49,184.525547,Cash,CUST00399,38,Female,Chilli
TRX000008,2024-01-02,12:20:55,Tuesday,January,Earrings,1,Silver,1.59,1.36,4.07,0.22,3.85,183.088235,Card,CUST00039,34,Female,Joseph
TRX000009,2024-01-02,13:48:41,Tuesday,January,Pendant,1,Silver,4.92,4.18,12.55,0.76,11.79,182.057416,Card,CUST00047,35,Male,Habib
TRX000010,2024-01-02,12:34:37,Tuesday,January,Pendant,1,"24kt Gold",2.72,200.36,300.54,17.31,283.23,41.360551,Cash,CUST00007,45,Non-binary,Habib
TRX000011,2024-01-02,18:50:46,Tuesday,January,Chain,1,Silver,21.24,18.06,54.17,2.68,51.49,185.105205,Cash,CUST00154,29,Non-binary,Chilli
TRX000012,2024-01-02,12:52:24,Tuesday,January,Necklace,1,Silver,11.86,10.08,30.23,1.34,28.89,186.607143,Cash,CUST00260,42,"Prefer not to say",Chilli
